trip_id,vehicle_id,start_time,end_time,start_hour,day_of_week,is_weekend,speed_mean,speed_std,idle_time_s,idle_ratio,total_km,stop_count,is_anomaly
V0_T0180,0,2024-01-30 09:03:20,2024-01-30 09:03:50,9,1,0,0.0,0.0,2768.0,92.2667,0.0,0,0
V0_T0181,0,2024-01-30 09:23:10,2024-01-30 09:42:48,9,1,0,19.46,15.9191,1129.0,0.9584,6.22,2,0
V0_T0182,0,2024-01-30 09:47:30,2024-01-30 10:08:50,9,1,0,12.52,14.0949,626.0,0.4891,5.12,5,0
V0_T0183,0,2024-01-30 10:31:09,2024-01-30 10:32:02,10,1,0,0.0,0.0,1339.0,25.2642,0.0,0,0
V0_T0184,0,2024-01-30 12:09:02,2024-01-30 12:23:45,12,1,0,14.8,13.4428,2421.0,2.7418,3.929,4,0
V0_T0185,0,2024-01-30 13:13:29,2024-01-30 13:20:13,13,1,0,19.5,13.8979,142.0,0.3515,2.83,1,0
V0_T0186,0,2024-01-30 13:32:31,2024-01-30 13:45:53,13,1,0,19.52,15.0471,861.0,1.0736,5.81,2,0
V0_T0187,0,2024-01-31 08:32:22,2024-01-31 08:33:32,8,2,0,0.62,1.0681,1423.0,20.3286,0.061,1,0
V0_T0188,0,2024-05-02 09:41:22,2024-05-02 10:10:24,9,3,0,11.1,13.0815,2805.0,1.6102,5.401,4,1
V0_T0189,0,2024-05-02 10:20:18,2024-05-02 10:20:39,10,3,0,0.0,0.0,594.0,28.2857,0.0,0,0
V0_T0190,0,2024-05-02 12:33:36,2024-05-02 13:00:19,12,3,0,9.11,10.5103,3837.0,2.3936,3.3,6,0
V0_T0191,0,2024-05-02 15:31:18,2024-05-02 15:31:33,15,3,0,0.0,0.0,1711.0,114.0667,0.049,0,0
V0_T0192,0,2024-05-02 16:12:38,2024-05-02 16:26:39,16,3,0,19.99,13.0607,2651.0,3.1522,5.09,2,0
V0_T0193,0,2024-05-04 14:59:44,2024-05-04 15:08:15,14,5,1,8.02,10.1006,522.0,1.0215,1.131,3,0
V0_T0194,0,2024-05-06 08:28:24,2024-05-06 08:29:17,8,0,0,1.23,1.0681,0.0,0.0,0.0,1,0
V0_T0195,0,2024-05-06 10:30:08,2024-05-06 10:37:59,10,0,0,13.69,16.9151,526.0,1.1168,1.96,1,0
V0_T0196,0,2024-05-06 13:36:22,2024-05-06 13:53:13,13,0,0,11.58,10.4349,3514.0,3.4758,2.84,1,0
V0_T0197,0,2024-05-06 14:13:18,2024-05-06 14:14:11,14,0,0,0.0,0.0,1205.0,22.7358,0.0,0,0
V0_T0198,0,2024-05-06 14:22:24,2024-05-06 14:26:14,14,0,0,10.54,7.1411,493.0,2.1435,0.41,1,0
V0_T0199,0,2024-05-06 15:08:37,2024-05-06 15:14:33,15,0,0,12.55,14.8918,2605.0,7.3174,1.95,2,0
V0_T0200,0,2024-05-06 16:13:40,2024-05-06 16:14:51,16,0,0,0.46,0.925,3548.0,49.9718,0.05,1,0
V0_T0201,0,2024-05-06 17:33:59,2024-05-06 17:34:34,17,0,0,0.0,0.0,1081.0,30.8857,0.059,0,0
V0_T0202,0,2024-05-06 17:54:39,2024-05-06 17:55:21,17,0,0,0.0,0.0,1206.0,28.7143,0.0,0,0
V0_T0203,0,2024-05-07 10:00:29,2024-05-07 10:05:04,10,1,0,1.23,1.9107,1705.0,6.2,0.21,1,0
V0_T0204,0,2024-05-07 11:51:19,2024-05-07 12:01:04,11,1,0,0.5,1.1963,3157.0,5.3966,0.231,2,0
